"type","id","Vmax","KO2","time","slurry","flux_g_O2_m2_day","flux_g_CO2_m2_day"
"data","11",0.210164739085361,0.00289961861868396,0.791666666666667,"Pig 1",35.4512008125001,11.698896268125
"data","12",0.185037621930516,0.00333731997137706,0.791666666666667,"Pig 1",33.966234225,11.20885729425
"data","13",0.0062970620063665,0.00186633590971888,0.0486111111111111,"Pig 1",11.4516109125,3.779031601125
"data","14",0.00750157313404169,0.0171333508208276,0.0291666666666667,"Pig 1",11.5823614499999,3.82217927849998
"data","15",0.00260777576898918,0.000732081776589798,0.0131944444444444,"Pig 1",5.50466853749995,1.81654061737498
"data","16",0.00290509102674747,0.000991143160907764,0.00833333333333333,"Pig 1",7.29279416250017,2.40662207362505
"data","17",0.00393634868840694,0.0053037145308125,0.00347222222222222,"Pig 1",7.37794777500002,2.43472276575001
"data","18",0.374452003439397,0.0128839418386997,0.000540123456790123,"Pig 1",41.6407662000001,13.741452846
"data","19",0.00534958653081512,0.00200406287962792,0.00138888888888889,"Pig 2",7.68159315000006,2.53492573950002
"data","20",0.00771604136415397,0.0170431312524635,0.0152777777777778,"Pig 2",10.3981630499999,3.43139380649998
"data","21",0.00878555461844197,0.0263267776275217,0.0201388888888889,"Pig 2",9.94673790000013,3.28242350700004
"data","27",0.0116928181562295,0.00278372722088236,0.0833333333333333,"Pig 3",19.0931190449042,6.3007292848184
"data","28",0.0136514403784609,0.00826190539091935,0.0833333333333333,"Pig 3",27.1212402057543,8.95000926789892
"data","29",0.00840698556124808,1e-04,0.0833333333333333,"Pig 3",10.8767354477472,3.58932269775658
"data","32",0.0697210127163033,0.0338114093371331,0.0833333333333333,"Pig 4",46.1287797898404,15.2224973306473
"data","33",0.123304931015326,0.0820051262301527,0.0833333333333333,"Pig 4",47.797068109415,15.773032476107
"data","34",0.0162042659968248,0.1,0.0833333333333333,"Pig 5",36.2698230151565,11.9690415950016
"data","35",0.387605697800689,0.1,0.0833333333333333,"Pig 5",71.688919975994,23.657343592078
"data","36",0.141901113460751,0.1,0.0833333333333333,"Pig 5",51.4671547986093,16.9841610835411
"data","43",4.85469912848744,0.000169136398909746,1.08333333333333,"Pig 3",143.952629276156,47.5043676611315
"data","44",4.32334494157416,0.000179157171313604,1.08333333333333,"Pig 3",139.086345622184,45.8984940553208
"data","45",5.42262259356911,0.000154206153951328,1.08333333333333,"Pig 3",147.473622419313,48.6662953983734
"data","46",1.13122995959575,0.000501097500447025,1.08333333333333,"Pig 5",91.0351753425571,30.0416078630439
"data","47",2.0804506339813,0.014803066110931,1.08333333333333,"Pig 5",99.672961482326,32.8920772891676
"data","48",0.781390764128013,0.000567998551577076,1.08333333333333,"Pig 5",83.9976533351009,27.7192256005833
"data","54",0.27696701158738,0.00233563841254372,2.08333333333333,"Pig 5",50.0780762748653,16.5257651707055
"data","55",0.44537662987188,0.000875106083320412,2.08333333333333,"Pig 5",58.0702274965125,19.1631750738491
"data","56",0.00477868585978616,1e-04,2.08333333333333,"Pig 5",14.2488715843148,4.70212762282388
"data","57",0.462273059818251,0.000808805894068347,2.08333333333333,"Pig 4",57.5139497124404,18.9796034051054
"data","58",0.404455711832482,0.00104675975353005,2.08333333333333,"Pig 3",81.2644544798777,26.8172699783597
"data","59",5.71203355343928,0.000147273093783647,2.08333333333333,"Pig 3",138.288304814739,45.635140588864
"data","60",3.18960733522965,0.000223368025439198,2.08333333333333,"Pig 3",124.130125783259,40.9629415084753
"data","67",0.859592264958122,0.000685663218368419,3.08333333333333,"Pig 5",133.465973765423,44.0437713425896
"data","68",0.615878828422003,0.00240211317065192,3.08333333333333,"Pig 5",62.3227911958489,20.5665210946301
"data","69",0.577303924748986,0.000765504458702198,3.08333333333333,"Pig 5",61.393658467387,20.2599072942377
"data","72",0.910994598024515,0.0771875993405179,3.08333333333333,"Pig 3",67.6886632274519,22.3372588650591
"data","73",0.847985742618406,0.000561598068429857,3.08333333333333,"Pig 3",67.386829112109,22.237653606996
"model","11",0.210164739085361,0.00289961861868396,0.791666666666667,"Pig 1",42.9966553328893,14.1888962598535
"model","12",0.185037621930516,0.00333731997137706,0.791666666666667,"Pig 1",40.2641443829475,13.2871676463727
"model","13",0.0062970620063665,0.00186633590971888,0.0486111111111111,"Pig 1",7.1726320755574,2.36696858493394
"model","14",0.00750157313404169,0.0171333508208276,0.0291666666666667,"Pig 1",7.23060588859265,2.38609994323557
"model","15",0.00260777576898918,0.000732081776589798,0.0131944444444444,"Pig 1",4.77905211847259,1.57708719909596
"model","16",0.00290509102674747,0.000991143160907764,0.00833333333333333,"Pig 1",4.93252707981517,1.627733936339
"model","17",0.00393634868840694,0.0053037145308125,0.00347222222222222,"Pig 1",5.38220323019348,1.77612706596385
"model","18",0.374452003439397,0.0128839418386997,0.000540123456790123,"Pig 1",53.7367276608681,17.7331201280865
"model","19",0.00534958653081512,0.00200406287962792,0.00138888888888889,"Pig 2",7.43313247934017,2.45293371818226
"model","20",0.00771604136415397,0.0170431312524635,0.0152777777777778,"Pig 2",8.28627632417533,2.73447118697786
"model","21",0.00878555461844197,0.0263267776275217,0.0201388888888889,"Pig 2",8.46589531707897,2.79374545463606
"model","27",0.0116928181562295,0.00278372722088236,0.0833333333333333,"Pig 3",10.1158131242271,3.33821833099494
"model","28",0.0136514403784609,0.00826190539091935,0.0833333333333333,"Pig 3",10.4947143271617,3.46325572796336
"model","29",0.00840698556124808,1e-04,0.0833333333333333,"Pig 3",8.44457474498658,2.78670966584557
