"temp","gas","comp","cum_mean","cum_std"
10,"air","CH4_emis_C",0.502526289828214,0.0410065543300467
10,"air","CO2_emis_C",13.6567598998541,0.536855006042604
10,"n2","CH4_emis_C",0.188536611165867,0.00854152243561506
10,"n2","CO2_emis_C",1.69291431366848,0.0848178231970488
20,"air","CH4_emis_C",5.18984050083455,0.189587667355041
20,"air","CO2_emis_C",20.2920155305039,0.882791119080557
20,"n2","CH4_emis_C",5.64015085676483,0.539467430474503
20,"n2","CO2_emis_C",5.95658353406083,0.295246667298954
10,"air","CH4_emis_C",7.13363000104693,1.69583986125128
10,"air","CO2_emis_C",6.70180664231305,0.46916493165172
10,"n2","CH4_emis_C",7.88100452276732,0.658542230700067
10,"n2","CO2_emis_C",4.59236134806141,0.982970780550076
20,"air","CH4_emis_C",1.86759186884082,0.317950945589043
20,"air","CO2_emis_C",3.20002669078211,0.479873173543483
20,"n2","CH4_emis_C",2.80701402689633,0.355026769294912
20,"n2","CO2_emis_C",3.11527746516309,0.451247759640472
10,"air","CH4_emis_C",7.63615629087514,1.66128915593466
10,"air","CO2_emis_C",20.3585665421672,0.88937690119483
10,"n2","CH4_emis_C",8.06954113393319,0.664344768081265
10,"n2","CO2_emis_C",6.28527566172988,1.03567478961167
20,"air","CH4_emis_C",7.05743236967536,0.442903458016125
20,"air","CO2_emis_C",23.492042221286,0.782589777948879
20,"n2","CH4_emis_C",8.44716488366115,0.779785876385864
20,"n2","CO2_emis_C",9.07186099922391,0.281008074813981
