"reactor","comp","temp","gas","cum","incubation"
"R1","CH4_emis_C","10","n2",54.5080092918733,"AD"
"R1","CO2_emis_C","10","n2",65.6525143001354,"AD"
"R10","CH4_emis_C","10","air",61.4419946484573,"AD"
"R10","CO2_emis_C","10","air",118.539324977356,"AD"
"R11","CH4_emis_C","10","air",28.5685886454658,"AD"
"R11","CO2_emis_C","10","air",122.411640088838,"AD"
"R12","CH4_emis_C","10","air",79.9037986478813,"AD"
"R12","CO2_emis_C","10","air",79.0675887437177,"AD"
"R13","CH4_emis_C","20","air",6.39031626531194,"AD"
"R13","CO2_emis_C","20","air",69.1481202364415,"AD"
"R14","CH4_emis_C","20","air",7.60832959432587,"AD"
"R14","CO2_emis_C","20","air",62.7889945541638,"AD"
"R15","CH4_emis_C","20","air",3.14170031290883,"AD"
"R15","CO2_emis_C","20","air",61.2780483645106,"AD"
"R16","CH4_emis_C","20","air",3.68195865701863,"AD"
"R16","CO2_emis_C","20","air",71.8156470029493,"AD"
"R2","CH4_emis_C","10","n2",71.2943218509199,"AD"
"R2","CO2_emis_C","10","n2",81.7413729651369,"AD"
"R3","CH4_emis_C","10","n2",79.964938873112,"AD"
"R3","CO2_emis_C","10","n2",51.6505147468546,"AD"
"R4","CH4_emis_C","10","n2",67.3425382928104,"AD"
"R4","CO2_emis_C","10","n2",57.5659647147982,"AD"
"R5","CH4_emis_C","20","n2",23.6492905005014,"AD"
"R5","CO2_emis_C","20","n2",53.6359965545652,"AD"
"R6","CH4_emis_C","20","n2",27.0471093425427,"AD"
"R6","CO2_emis_C","20","n2",42.9318085229833,"AD"
"R7","CH4_emis_C","20","n2",18.5676066639443,"AD"
"R7","CO2_emis_C","20","n2",47.3368917528955,"AD"
"R8","CH4_emis_C","20","n2",16.2227149596503,"AD"
"R8","CO2_emis_C","20","n2",58.3263090571181,"AD"
"R9","CH4_emis_C","10","air",44.7002011183025,"AD"
"R9","CO2_emis_C","10","air",102.658081353597,"AD"
